Id,MeasurementType,Projection,Distance,WayLength,HeightDifference,HeightMax,Bearing,Slope,DipAngle,DipAzimuth,StrikeAzimuth,SurfaceId,GroupName,BillboardText,Color,Thickness,x,y,z
cbee1375-1791-440e-9cfd-9cec3b098d8c,Polyline,ViewPoint,29.5308288299916,35.444381790824,0.0349984113126993,3394172.35052746,104.838887512146,4.72737421263059,NaN,NaN,NaN,,Measurements,,[221. 188. 38. 0],4,3376383.21688665,-325158.734809386,-121298.123218266
c9d9478a-8d84-43aa-9938-33c8d2890e6b,Polyline,ViewPoint,28.094032862635,33.2894944840306,0.210096641909331,3394171.67093252,104.924029507147,4.36113032504477,NaN,NaN,NaN,,Measurements,,[221. 188. 38. 0],4,3376382.54395097,-325158.377581729,-121298.429730299
0994e6c8-e260-4d57-9df2-e96b8b4498f1,Polyline,ViewPoint,6.35255678255883,6.98077410169434,0.0742189674638212,3394170.77963218,93.6522093698883,6.02988671009034,NaN,NaN,NaN,,Measurements,,[221. 188. 38. 0],4,3376381.33365919,-325163.78406735,-121295.040694879
2eb11f6f-5cce-4ce2-ab96-e0b63d41f15a,Polyline,ViewPoint,4.33774784790729,4.9068311147256,0.0653293197974563,3394170.80689645,94.2776886149382,6.19728576978799,NaN,NaN,NaN,,Measurements,,[255. 255. 255. 0],2.5,3376381.26586516,-325164.907353227,-121294.914790211
ab2a6149-a882-4a91-9906-9fca866c8548,Polyline,ViewPoint,7.38130706203554,8.265225876681,0.0278337709605694,3394170.87923178,116.073842163789,4.26136677217812,NaN,NaN,NaN,,Measurements,,[214. 184. 43. 0],4,3376382.34853772,-325152.910277803,-121297.629972438
c343cccc-514a-4bc2-aaf7-4d7e5c94bd33,Line,Linear,15.2790909568665,15.2790909568665,13.0575611223467,3394172.26962388,199.699201848234,-62.798737715775,NaN,NaN,NaN,,Measurements,,[255. 0. 0. 0],1.5,3376377.64207446,-325145.973214567,-121306.184923914
65ddccb0-fdea-4c6b-850d-0ea802e7faa6,Line,Linear,13.4896668938925,13.4896668938925,8.60882386099547,3394172.30916874,205.001709603786,-43.9689800016032,NaN,NaN,NaN,,Measurements,,[255. 0. 0. 0],1.5,3376379.33738914,-325154.405713412,-121299.740249824
fa80dec9-8086-4a9d-9d85-136230f5c454,Line,Linear,9.21499947405138,9.21499947405138,5.55045466357842,3394172.25000867,197.278049594289,-40.7785817535953,NaN,NaN,NaN,,Measurements,,[255. 0. 0. 0],1.5,3376380.35564394,-325160.292254903,-121296.751342696
8cddf7b9-752a-4f03-948d-73c6d2c60085,Line,Linear,29.0253840034935,29.0253840034935,0.416167390532792,3394171.67324407,284.576217193572,-3.98786908960315,NaN,NaN,NaN,,Measurements,,[255. 0. 0. 0],1.5,3376382.47112819,-325158.041280386,-121299.594176399
9c8e0e76-780f-4de9-bea9-a62ea472048d,Line,Linear,2.76218781112126,2.76218781112126,2.39285493409261,3394167.95201046,241.06100488397,-65.8465301359049,NaN,NaN,NaN,,Measurements,,[255. 0. 0. 0],1.5,3376377.58062979,-325159.057871586,-121301.215199689
4a36115a-6ef8-43f3-aa9e-eb07d6478520,Polyline,ViewPoint,5.48861615696999,6.15408023966797,0.258989488705993,3394171.699874,312.453708048296,-5.39551115807412,NaN,NaN,NaN,,Measurements,,[255. 255. 255. 0],3,3376383.60614687,-325146.68174405,-121301.39593901
8efb3042-3a01-419c-9845-120f55cbbb5a,Line,Linear,0.888197103816657,0.888197103816657,0.82482698559761,3394172.24599974,217.381094931393,-73.4126594013032,NaN,NaN,NaN,,Measurements,,[255. 255. 255. 0],3,3376383.97701555,-325145.128041193,-121302.602502807
3f88afb0-42c5-4e24-b4bf-481337446bde,Line,Linear,1.04988321907573,1.04988321907573,1.03783700149506,3394172.20287914,181.666783171321,-85.4289206586419,NaN,NaN,NaN,,Measurements,,[255. 255. 255. 0],3,3376383.70266931,-325147.085353406,-121300.805584419
2177129f-6d48-472a-b59b-c867ea8076a3,Line,Linear,1.0837606406117,1.0837606406117,0.905567268840969,3394172.11722728,228.17275450238,-62.2043019390197,NaN,NaN,NaN,,Measurements,,[255. 255. 255. 0],3,3376383.58776873,-325148.71911891,-121299.07836976
0419e174-64c3-42fb-9172-039fcbac7ffc,Line,Linear,1.66339796519503,1.66339796519503,0.823940877337009,3394172.11609505,222.800269487199,-34.9711034978001,NaN,NaN,NaN,,Measurements,,[255. 255. 255. 0],3,3376383.09893653,-325155.928056569,-121294.471205711
ad302e8e-8bfa-4134-8506-9230930ca3f3,Polyline,ViewPoint,24.1249579606347,28.6147240320777,0.0536842942237854,3394172.31503255,112.401663178967,4.18093667040231,NaN,NaN,NaN,,Measurements,,[233. 226. 120. 0],5,3376383.68113099,-325153.91072833,-121298.125671473
bae8e50c-f623-4e2c-9461-779e64387abf,Polyline,ViewPoint,24.1538702513638,28.0621931016822,0.24291653977707,3394171.54940031,112.558028380194,4.87552229035836,NaN,NaN,NaN,,Measurements,,[217. 210. 80. 0],5,3376382.71763949,-325155.441755794,-121298.655452956
87fdf9a5-4529-4b46-94bd-86cb3ca2786e,Polyline,ViewPoint,7.8563264147709,8.69319563929966,0.00943935569375753,3394170.70424014,91.8934700493746,5.49943399306825,NaN,NaN,NaN,,Measurements,,[170. 163. 49. 0],5,3376381.35012434,-325163.236902136,-121295.090340294
